Ngày,Khu vực,Tổng tin,Tổng views,Views/Tin,Cycle,Heat Score,MFV,MFSI,Cung-Cầu,Giá gap (%),Giá (tr/m²),Cắt lỗ (%),YoY (%)
2026-03-09,Ba Đình,271,2466,9.1,61.0,696.0,1233.0,49.3,1.82,49.6,139.1,16.67,0.0
2026-03-09,Bắc Từ Liêm,1,4,4.0,54.0,222.0,0.0,18.2,0.8,,0,0,15.0
2026-03-09,Cầu Giấy,1937,5036,2.6,39.0,544.0,2757.3,44.1,0.52,31.5,122.3,6.67,9.5
2026-03-09,Gia Lâm,1,3,3.2,56.0,217.0,0.0,17.6,0.64,,0,0,22.0
2026-03-09,Hai Bà Trưng,1,4,4.2,48.0,207.0,0.0,18.4,0.84,,0,0,8.0
2026-03-09,Hoài Đức,600,5400,9.0,82.0,816.0,2110.7,63.2,1.8,-17.1,77.1,8.33,34.0
2026-03-09,Hoàng Mai,1566,2975,1.9,54.0,628.0,2730.4,53.5,0.38,-14.7,79.3,6.67,44.9
2026-03-09,Hà Đông,1882,3576,1.9,44.0,540.0,1832.9,53.5,0.38,-13.2,80.7,10.0,18.3
2026-03-09,Long Biên,1,8,7.5,73.0,372.0,0.0,20,1.5,,0,0,28.0
2026-03-09,Nam Từ Liêm,2419,2903,1.2,37.0,484.0,1632.8,53.0,0.24,0.0,93.0,16.67,12.5
2026-03-09,Thanh Trì,1,10,10.2,88,502.0,0.0,20,2.04,,0,0,44.1
2026-03-09,Thanh Xuân,1414,2969,2.1,40.0,496.0,1197.8,47.7,0.42,4.5,97.2,23.33,10.0
2026-03-09,Tây Hồ,1009,1715,1.7,50.0,528.0,495.0,48.4,0.34,48.7,138.3,0,8.2
2026-03-09,Đan Phượng,1,3,2.8,59.0,289.0,0.0,17.2,0.56,,0,0,50.0
2026-03-09,Đông Anh,193,2721,14.1,82,898.0,819.6,62,2.82,-10.5,83.2,13.64,32.5
2026-03-09,Đống Đa,1,5,5.0,51.0,208.0,0.0,19.0,1.0,,0,0,0.0
2026-03-10,Nam Từ Liêm,1,4,4.5,56.0,230.0,0.0,18.6,0.9,,0,0,12.5
2026-03-10,Cầu Giấy,1942,5049,2.6,33.0,153.0,0.0,13.8,0.52,,121.5,3.33,9.5
